Gene stable ID,Interpro ID,Interpro Description
WBGene00000047,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000047,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000047,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000047,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000047,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000047,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000048,IPR002394,Nicotinic acetylcholine receptor
WBGene00000048,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000048,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000048,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000048,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000048,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000048,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000049,IPR002394,Nicotinic acetylcholine receptor
WBGene00000049,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000049,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000049,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000049,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000049,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000049,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000050,IPR002394,Nicotinic acetylcholine receptor
WBGene00000050,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000050,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000050,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000050,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000050,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000050,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000051,IPR002394,Nicotinic acetylcholine receptor
WBGene00000051,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000051,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000051,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000051,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000051,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000051,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000053,IPR002394,Nicotinic acetylcholine receptor
WBGene00000053,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000053,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000053,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000053,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000053,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000053,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000054,IPR002394,Nicotinic acetylcholine receptor
WBGene00000054,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000054,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000054,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000054,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000054,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000054,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000055,IPR002394,Nicotinic acetylcholine receptor
WBGene00000055,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000055,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000055,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000055,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000055,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000055,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000056,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000056,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000056,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000056,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000056,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000056,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000056,,
WBGene00000057,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000057,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000057,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000057,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000057,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000057,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000058,IPR002394,Nicotinic acetylcholine receptor
WBGene00000058,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000058,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000058,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000058,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000058,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000058,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000059,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000059,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000059,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000059,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000059,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000059,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000060,IPR002394,Nicotinic acetylcholine receptor
WBGene00000060,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000060,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000060,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000060,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000060,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000060,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000061,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000061,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000061,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000061,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000061,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000061,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000062,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000062,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000062,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000062,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000062,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000062,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000063,IPR004000,Actin family
WBGene00000063,IPR004001,"Actin, conserved site"
WBGene00000063,IPR020902,Actin/actin-like conserved site
WBGene00000063,IPR043129,"ATPase, nucleotide binding domain"
WBGene00000064,IPR004000,Actin family
WBGene00000064,IPR004001,"Actin, conserved site"
WBGene00000064,IPR020902,Actin/actin-like conserved site
WBGene00000064,IPR043129,"ATPase, nucleotide binding domain"
WBGene00000065,IPR004000,Actin family
WBGene00000065,IPR004001,"Actin, conserved site"
WBGene00000065,IPR020902,Actin/actin-like conserved site
WBGene00000065,IPR043129,"ATPase, nucleotide binding domain"
WBGene00000066,IPR004000,Actin family
WBGene00000066,IPR004001,"Actin, conserved site"
WBGene00000066,IPR020902,Actin/actin-like conserved site
WBGene00000066,IPR043129,"ATPase, nucleotide binding domain"
WBGene00000067,IPR004000,Actin family
WBGene00000067,IPR004001,"Actin, conserved site"
WBGene00000067,IPR020902,Actin/actin-like conserved site
WBGene00000067,IPR043129,"ATPase, nucleotide binding domain"
WBGene00000068,IPR001054,Adenylyl cyclase class-3/4/guanylyl cyclase
WBGene00000068,IPR029787,Nucleotide cyclase
WBGene00000069,IPR001054,Adenylyl cyclase class-3/4/guanylyl cyclase
WBGene00000069,IPR018297,"Adenylyl cyclase class-4/guanylyl cyclase, conserved site"
WBGene00000069,IPR029787,Nucleotide cyclase
WBGene00000070,IPR001054,Adenylyl cyclase class-3/4/guanylyl cyclase
WBGene00000070,IPR029787,Nucleotide cyclase
WBGene00000071,IPR001054,Adenylyl cyclase class-3/4/guanylyl cyclase
WBGene00000071,IPR018297,"Adenylyl cyclase class-4/guanylyl cyclase, conserved site"
WBGene00000071,IPR029787,Nucleotide cyclase
WBGene00000071,IPR030672,Adenylate cyclase
WBGene00000071,IPR032628,"Adenylate cyclase, N-terminal"
WBGene00000072,IPR001303,Class II aldolase/adducin N-terminal
WBGene00000072,IPR036409,Class II aldolase/adducin N-terminal domain superfamily
WBGene00000073,IPR001303,Class II aldolase/adducin N-terminal
WBGene00000073,IPR036409,Class II aldolase/adducin N-terminal domain superfamily
WBGene00000074,IPR000742,EGF-like domain
WBGene00000074,IPR001590,"Peptidase M12B, ADAM/reprolysin"
WBGene00000074,IPR001762,Disintegrin domain
WBGene00000074,IPR006586,"ADAM, cysteine-rich domain"
WBGene00000074,IPR024079,"Metallopeptidase, catalytic domain superfamily"
WBGene00000074,IPR034027,"Reprolysin domain, adamalysin-type"
WBGene00000074,IPR036436,Disintegrin domain superfamily
WBGene00000075,IPR001590,"Peptidase M12B, ADAM/reprolysin"
WBGene00000075,IPR001762,Disintegrin domain
WBGene00000075,IPR024079,"Metallopeptidase, catalytic domain superfamily"
WBGene00000075,IPR032029,"ADAM17, membrane-proximal domain"
WBGene00000075,IPR034025,ADAM10/ADAM17 catalytic domain
WBGene00000075,IPR036436,Disintegrin domain superfamily
WBGene00000079,IPR002466,Adenosine deaminase/editase
WBGene00000079,IPR014720,Double-stranded RNA-binding domain
WBGene00000079,,
WBGene00000080,IPR002466,Adenosine deaminase/editase
WBGene00000080,IPR014720,Double-stranded RNA-binding domain
WBGene00000081,IPR004113,"FAD-linked oxidase, C-terminal"
WBGene00000081,IPR006094,"FAD linked oxidase, N-terminal"
WBGene00000081,IPR016164,"FAD-linked oxidase-like, C-terminal"
WBGene00000081,IPR016166,"FAD-binding domain, PCMH-type"
WBGene00000081,IPR016167,"FAD-binding, type PCMH, subdomain 1"
WBGene00000081,IPR016169,"FAD-binding, type PCMH, subdomain 2"
WBGene00000081,IPR016171,"Vanillyl-alcohol oxidase, C-terminal subdomain 2"
WBGene00000081,IPR025650,Alkyldihydroxyacetonephosphate synthase
WBGene00000081,IPR036318,"FAD-binding, type PCMH-like superfamily"
WBGene00000082,IPR000884,Thrombospondin type-1 (TSP1) repeat
WBGene00000082,IPR001590,"Peptidase M12B, ADAM/reprolysin"
WBGene00000082,IPR002870,"Peptidase M12B, propeptide"
WBGene00000082,IPR024079,"Metallopeptidase, catalytic domain superfamily"
WBGene00000082,IPR036383,Thrombospondin type-1 (TSP1) repeat superfamily
WBGene00000082,IPR041645,ADAM cysteine-rich domain 2
WBGene00000083,IPR000884,Thrombospondin type-1 (TSP1) repeat
WBGene00000083,IPR001590,"Peptidase M12B, ADAM/reprolysin"
WBGene00000083,IPR002870,"Peptidase M12B, propeptide"
WBGene00000083,IPR024079,"Metallopeptidase, catalytic domain superfamily"
WBGene00000083,IPR036383,Thrombospondin type-1 (TSP1) repeat superfamily
WBGene00000083,IPR041645,ADAM cysteine-rich domain 2
WBGene00000084,IPR035892,C2 domain superfamily
WBGene00000084,,
WBGene00000085,IPR000276,"G protein-coupled receptor, rhodopsin-like"
WBGene00000085,IPR017452,"GPCR, rhodopsin-like, 7TM"
WBGene00000085,IPR039952,G-protein coupled receptor Aex-2
WBGene00000086,IPR001194,cDENN domain
WBGene00000086,IPR005112,dDENN domain
WBGene00000086,IPR005113,uDENN domain
WBGene00000086,IPR037516,Tripartite DENN domain
WBGene00000086,IPR039980,MAP kinase-activating death domain protein
WBGene00000086,IPR043153,"DENN domain, C-terminal lobe"
WBGene00000088,IPR000209,Peptidase S8/S53 domain
WBGene00000088,IPR002884,P domain
WBGene00000088,IPR008979,Galactose-binding-like domain superfamily
WBGene00000088,IPR015500,"Peptidase S8, subtilisin-related"
WBGene00000088,IPR022398,"Peptidase S8, subtilisin, His-active site"
WBGene00000088,IPR023827,"Peptidase S8, subtilisin,  Asp-active site"
WBGene00000088,IPR034182,Kexin/furin catalytic domain
WBGene00000088,IPR036852,Peptidase S8/S53 domain superfamily
WBGene00000089,IPR001806,Small GTPase
WBGene00000089,IPR005225,Small GTP-binding protein domain
WBGene00000089,IPR027417,P-loop containing nucleoside triphosphate hydrolase
WBGene00000089,IPR041837,Rab27a/b
WBGene00000090,IPR000341,Phosphatidylinositol 3-kinase Ras-binding (PI3K RBD) domain
WBGene00000090,IPR000403,"Phosphatidylinositol 3-/4-kinase, catalytic domain"
WBGene00000090,IPR001263,"Phosphoinositide 3-kinase, accessory (PIK) domain"
WBGene00000090,IPR002420,"Phosphatidylinositol 3-kinase, C2 domain"
WBGene00000090,IPR003113,Phosphatidylinositol 3-kinase adaptor-binding (PI3K ABD) domain
WBGene00000090,IPR011009,Protein kinase-like domain superfamily
WBGene00000090,IPR015433,Phosphatidylinositol kinase
WBGene00000090,IPR016024,Armadillo-type fold
WBGene00000090,IPR018936,"Phosphatidylinositol 3/4-kinase, conserved site"
WBGene00000090,IPR029071,Ubiquitin-like domain superfamily
WBGene00000090,IPR035892,C2 domain superfamily
WBGene00000090,IPR036940,"Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily"
WBGene00000090,IPR042236,"Phosphoinositide 3-kinase, accessory (PIK) domain superfamily"
WBGene00000092,IPR003109,GoLoco motif
WBGene00000092,IPR011990,Tetratricopeptide-like helical domain superfamily
WBGene00000092,IPR013026,Tetratricopeptide repeat-containing domain
WBGene00000092,IPR019734,Tetratricopeptide repeat
WBGene00000093,IPR001497,"Methylated-DNA-[protein]-cysteine S-methyltransferase, active site"
WBGene00000093,IPR014048,"Methylated-DNA-[protein]-cysteine S-methyltransferase, DNA binding"
WBGene00000093,IPR036217,"Methylated DNA-protein cysteine methyltransferase, DNA binding domain"
WBGene00000093,IPR036388,Winged helix-like DNA-binding domain superfamily
WBGene00000094,,
WBGene00000095,IPR000014,PAS domain
WBGene00000095,IPR001067,Nuclear translocator
WBGene00000095,IPR011598,"Myc-type, basic helix-loop-helix (bHLH) domain"
WBGene00000095,IPR013767,PAS fold
WBGene00000095,IPR035965,PAS domain superfamily
WBGene00000095,IPR036638,Helix-loop-helix DNA-binding domain superfamily
WBGene00000096,IPR000014,PAS domain
WBGene00000096,IPR011598,"Myc-type, basic helix-loop-helix (bHLH) domain"
WBGene00000096,IPR013655,PAS fold-3
WBGene00000096,IPR013767,PAS fold
WBGene00000096,IPR035965,PAS domain superfamily
WBGene00000096,IPR036638,Helix-loop-helix DNA-binding domain superfamily
WBGene00000096,IPR039091,Aryl hydrocarbon receptor/Aryl hydrocarbon receptor repressor
WBGene00000097,IPR000058,"Zinc finger, AN1-type"
WBGene00000097,IPR035896,AN1-like Zinc finger
WBGene00000098,IPR000719,Protein kinase domain
WBGene00000098,IPR008271,"Serine/threonine-protein kinase, active site"
WBGene00000098,IPR011009,Protein kinase-like domain superfamily
WBGene00000098,IPR017441,"Protein kinase, ATP binding site"
WBGene00000098,IPR030616,Aurora kinase
WBGene00000099,IPR000719,Protein kinase domain
WBGene00000099,IPR008271,"Serine/threonine-protein kinase, active site"
WBGene00000099,IPR011009,Protein kinase-like domain superfamily
WBGene00000099,IPR017441,"Protein kinase, ATP binding site"
WBGene00000099,IPR030616,Aurora kinase
WBGene00000100,IPR002893,"Zinc finger, MYND-type"
WBGene00000100,IPR038825,Apical junction component
WBGene00000101,IPR000306,FYVE zinc finger
WBGene00000101,IPR011011,"Zinc finger, FYVE/PHD-type"
WBGene00000101,IPR013083,"Zinc finger, RING/FYVE/PHD-type"
WBGene00000101,IPR017455,"Zinc finger, FYVE-related"
WBGene00000101,IPR022557,Domain of unknown function DUF3480
WBGene00000102,IPR000719,Protein kinase domain
WBGene00000102,IPR000961,"AGC-kinase, C-terminal"
WBGene00000102,IPR001849,Pleckstrin homology domain
WBGene00000102,IPR008271,"Serine/threonine-protein kinase, active site"
WBGene00000102,IPR011009,Protein kinase-like domain superfamily
WBGene00000102,IPR011993,PH-like domain superfamily
WBGene00000102,IPR017441,"Protein kinase, ATP binding site"
WBGene00000102,IPR017892,"Protein kinase, C-terminal"
WBGene00000102,IPR039026,"Protein Kinase B, pleckstrin homology domain"
WBGene00000102,IPR039027,Serine/threonine-protein kinase RAC alpha
WBGene00000103,IPR000719,Protein kinase domain
WBGene00000103,IPR000961,"AGC-kinase, C-terminal"
WBGene00000103,IPR001849,Pleckstrin homology domain
WBGene00000103,IPR008271,"Serine/threonine-protein kinase, active site"
WBGene00000103,IPR011009,Protein kinase-like domain superfamily
WBGene00000103,IPR011993,PH-like domain superfamily
WBGene00000103,IPR017441,"Protein kinase, ATP binding site"
WBGene00000103,IPR017892,"Protein kinase, C-terminal"
WBGene00000103,IPR039026,"Protein Kinase B, pleckstrin homology domain"
WBGene00000103,IPR039029,Serine/threonine-protein kinase RAC gamma-like
WBGene00000105,IPR003100,PAZ domain
WBGene00000105,IPR003165,Piwi domain
WBGene00000105,IPR012337,Ribonuclease H-like superfamily
WBGene00000105,IPR014811,"Argonaute, linker 1 domain"
WBGene00000105,IPR032472,Argonaute linker 2 domain
WBGene00000105,IPR032473,"Protein argonaute, Mid domain"
WBGene00000105,IPR032474,"Protein argonaute, N-terminal"
WBGene00000105,IPR036085,PAZ domain superfamily
WBGene00000105,IPR036397,Ribonuclease H superfamily
WBGene00000106,IPR003100,PAZ domain
WBGene00000106,IPR003165,Piwi domain
WBGene00000106,IPR012337,Ribonuclease H-like superfamily
WBGene00000106,IPR014811,"Argonaute, linker 1 domain"
WBGene00000106,IPR032472,Argonaute linker 2 domain
WBGene00000106,IPR032473,"Protein argonaute, Mid domain"
WBGene00000106,IPR032474,"Protein argonaute, N-terminal"
WBGene00000106,IPR036085,PAZ domain superfamily
WBGene00000106,IPR036397,Ribonuclease H superfamily
WBGene00000107,IPR015590,Aldehyde dehydrogenase domain
WBGene00000107,IPR016160,"Aldehyde dehydrogenase, cysteine active site"
WBGene00000107,IPR016161,Aldehyde/histidinol dehydrogenase
WBGene00000107,IPR016162,"Aldehyde dehydrogenase, N-terminal"
WBGene00000107,IPR016163,"Aldehyde dehydrogenase, C-terminal"
WBGene00000107,IPR029510,"Aldehyde dehydrogenase, glutamic acid active site"
WBGene00000108,IPR015590,Aldehyde dehydrogenase domain
WBGene00000108,IPR016160,"Aldehyde dehydrogenase, cysteine active site"
WBGene00000108,IPR016161,Aldehyde/histidinol dehydrogenase
WBGene00000108,IPR016162,"Aldehyde dehydrogenase, N-terminal"
WBGene00000108,IPR016163,"Aldehyde dehydrogenase, C-terminal"
WBGene00000108,IPR029510,"Aldehyde dehydrogenase, glutamic acid active site"
WBGene00000109,IPR001555,"Phosphoribosylglycinamide formyltransferase, active site"
WBGene00000109,IPR002376,"Formyl transferase, N-terminal"
WBGene00000109,IPR005793,"Formyl transferase, C-terminal"
WBGene00000109,IPR009081,Phosphopantetheine binding ACP domain
