Gene stable ID,Interpro ID,Interpro Description,SpectralCounts
WBGene00000064,IPR043129,"ATPase, nucleotide binding domain",32
WBGene00000067,IPR004000,Actin family,297
WBGene00000067,IPR004001,"Actin, conserved site",297
WBGene00000067,IPR020902,Actin/actin-like conserved site,297
WBGene00000067,IPR043129,"ATPase, nucleotide binding domain",297
WBGene00000081,IPR004113,"FAD-linked oxidase, C-terminal",1
WBGene00000081,IPR006094,"FAD linked oxidase, N-terminal",1
WBGene00000081,IPR016164,"FAD-linked oxidase-like, C-terminal",1
WBGene00000081,IPR016166,"FAD-binding domain, PCMH-type",1
WBGene00000081,IPR016167,"FAD-binding, type PCMH, subdomain 1",1
WBGene00000081,IPR016169,"FAD-binding, type PCMH, subdomain 2",1
WBGene00000081,IPR016171,"Vanillyl-alcohol oxidase, C-terminal subdomain 2",1
WBGene00000081,IPR025650,Alkyldihydroxyacetonephosphate synthase,1
WBGene00000081,IPR036318,"FAD-binding, type PCMH-like superfamily",1
WBGene00000084,IPR035892,C2 domain superfamily,1
WBGene00000084,,,1
WBGene00000086,IPR001194,cDENN domain,2
WBGene00000086,IPR005112,dDENN domain,2
WBGene00000086,IPR005113,uDENN domain,2
WBGene00000086,IPR037516,Tripartite DENN domain,2
WBGene00000086,IPR039980,MAP kinase-activating death domain protein,2
WBGene00000086,IPR043153,"DENN domain, C-terminal lobe",2
WBGene00000107,IPR015590,Aldehyde dehydrogenase domain,42
WBGene00000107,IPR016160,"Aldehyde dehydrogenase, cysteine active site",42
WBGene00000107,IPR016161,Aldehyde/histidinol dehydrogenase,42
WBGene00000107,IPR016162,"Aldehyde dehydrogenase, N-terminal",42
WBGene00000107,IPR016163,"Aldehyde dehydrogenase, C-terminal",42
WBGene00000107,IPR029510,"Aldehyde dehydrogenase, glutamic acid active site",42
WBGene00000108,IPR015590,Aldehyde dehydrogenase domain,1
WBGene00000108,IPR016160,"Aldehyde dehydrogenase, cysteine active site",1
WBGene00000108,IPR016161,Aldehyde/histidinol dehydrogenase,1
WBGene00000108,IPR016162,"Aldehyde dehydrogenase, N-terminal",1
WBGene00000108,IPR016163,"Aldehyde dehydrogenase, C-terminal",1
WBGene00000108,IPR029510,"Aldehyde dehydrogenase, glutamic acid active site",1
WBGene00000109,IPR001555,"Phosphoribosylglycinamide formyltransferase, active site",153
WBGene00000109,IPR002376,"Formyl transferase, N-terminal",153
WBGene00000109,IPR005793,"Formyl transferase, C-terminal",153
WBGene00000109,IPR009081,Phosphopantetheine binding ACP domain,153
WBGene00000109,IPR011034,"Formyl transferase-like, C-terminal domain superfamily",153
WBGene00000109,IPR011407,10-formyltetrahydrofolate dehydrogenase,153
WBGene00000109,IPR015590,Aldehyde dehydrogenase domain,153
WBGene00000109,IPR016160,"Aldehyde dehydrogenase, cysteine active site",153
WBGene00000109,IPR016161,Aldehyde/histidinol dehydrogenase,153
WBGene00000109,IPR016162,"Aldehyde dehydrogenase, N-terminal",153
WBGene00000109,IPR016163,"Aldehyde dehydrogenase, C-terminal",153
WBGene00000109,IPR029510,"Aldehyde dehydrogenase, glutamic acid active site",153
WBGene00000109,IPR036477,"Formyl transferase, N-terminal domain superfamily",153
WBGene00000109,IPR036736,ACP-like superfamily,153
WBGene00000109,IPR037022,"Formyl transferase, C-terminal domain superfamily",153
WBGene00000110,IPR012394,Aldehyde dehydrogenase NAD(P)-dependent,40
WBGene00000110,IPR015590,Aldehyde dehydrogenase domain,40
WBGene00000110,IPR016161,Aldehyde/histidinol dehydrogenase,40
WBGene00000110,IPR016162,"Aldehyde dehydrogenase, N-terminal",40
WBGene00000110,IPR016163,"Aldehyde dehydrogenase, C-terminal",40
WBGene00000111,IPR012394,Aldehyde dehydrogenase NAD(P)-dependent,2
WBGene00000111,IPR015590,Aldehyde dehydrogenase domain,2
WBGene00000111,IPR016161,Aldehyde/histidinol dehydrogenase,2
WBGene00000111,IPR016162,"Aldehyde dehydrogenase, N-terminal",2
WBGene00000111,IPR016163,"Aldehyde dehydrogenase, C-terminal",2
WBGene00000112,IPR005931,Delta-1-pyrroline-5-carboxylate dehydrogenase,7
WBGene00000112,IPR015590,Aldehyde dehydrogenase domain,7
WBGene00000112,IPR016161,Aldehyde/histidinol dehydrogenase,7
WBGene00000112,IPR016162,"Aldehyde dehydrogenase, N-terminal",7
WBGene00000112,IPR016163,"Aldehyde dehydrogenase, C-terminal",7
WBGene00000114,IPR010061,Methylmalonate-semialdehyde dehydrogenase,134
WBGene00000114,IPR015590,Aldehyde dehydrogenase domain,134
WBGene00000114,IPR016160,"Aldehyde dehydrogenase, cysteine active site",134
WBGene00000114,IPR016161,Aldehyde/histidinol dehydrogenase,134
WBGene00000114,IPR016162,"Aldehyde dehydrogenase, N-terminal",134
WBGene00000114,IPR016163,"Aldehyde dehydrogenase, C-terminal",134
WBGene00000115,IPR015590,Aldehyde dehydrogenase domain,68
WBGene00000115,IPR016161,Aldehyde/histidinol dehydrogenase,68
WBGene00000115,IPR016162,"Aldehyde dehydrogenase, N-terminal",68
WBGene00000115,IPR016163,"Aldehyde dehydrogenase, C-terminal",68
WBGene00000115,IPR029510,"Aldehyde dehydrogenase, glutamic acid active site",68
WBGene00000116,IPR015590,Aldehyde dehydrogenase domain,35
WBGene00000116,IPR016160,"Aldehyde dehydrogenase, cysteine active site",35
WBGene00000116,IPR016161,Aldehyde/histidinol dehydrogenase,35
WBGene00000116,IPR016162,"Aldehyde dehydrogenase, N-terminal",35
WBGene00000116,IPR016163,"Aldehyde dehydrogenase, C-terminal",35
WBGene00000116,IPR029510,"Aldehyde dehydrogenase, glutamic acid active site",35
WBGene00000118,IPR015590,Aldehyde dehydrogenase domain,120
WBGene00000118,IPR016160,"Aldehyde dehydrogenase, cysteine active site",120
WBGene00000118,IPR016161,Aldehyde/histidinol dehydrogenase,120
WBGene00000118,IPR016162,"Aldehyde dehydrogenase, N-terminal",120
WBGene00000118,IPR016163,"Aldehyde dehydrogenase, C-terminal",120
WBGene00000136,IPR001905,Ammonium transporter,21
WBGene00000136,IPR018047,"Ammonium transporter, conserved site",21
WBGene00000136,IPR024041,Ammonium transporter AmtB-like domain,21
WBGene00000136,IPR029020,Ammonium/urea transporter,21
WBGene00000140,IPR001589,"Actinin-type actin-binding domain, conserved site",141
WBGene00000140,IPR001715,Calponin homology domain,141
WBGene00000140,IPR003103,BAG domain,141
WBGene00000140,IPR012315,KASH domain,141
WBGene00000140,IPR036872,CH domain superfamily,141
WBGene00000140,IPR039906,Nuclear anchorage protein 1-like,141
WBGene00000148,IPR008710,Nicastrin,3
WBGene00000148,IPR041084,"Nicastrin, small lobe",3
WBGene00000149,IPR008154,"Amyloidogenic glycoprotein, extracellular",2
WBGene00000149,IPR008155,Amyloidogenic glycoprotein,2
WBGene00000149,IPR011178,"Amyloidogenic glycoprotein, copper-binding",2
WBGene00000149,IPR011993,PH-like domain superfamily,2
WBGene00000149,IPR015849,"Amyloidogenic glycoprotein, heparin-binding",2
WBGene00000149,IPR019543,Beta-amyloid precursor protein C-terminal,2
WBGene00000149,IPR019744,"Amyloidogenic glycoprotein,  copper-binding domain conserved site",2
WBGene00000149,IPR019745,"Amyloidogenic glycoprotein, intracellular domain, conserved site",2
WBGene00000149,IPR024329,"Amyloidogenic glycoprotein, E2 domain",2
WBGene00000149,IPR036176,E2 domain superfamily,2
WBGene00000149,IPR036454,"Amyloidogenic glycoprotein, heparin-binding domain superfamily",2
WBGene00000149,IPR036669,"Amyloidogenic glycoprotein, copper-binding domain superfamily",2
WBGene00000155,IPR000587,"Creatinase, N-terminal",54
WBGene00000155,IPR000994,Peptidase M24,54
WBGene00000155,IPR029149,"Creatinase/Aminopeptidase P/Spt16, N-terminal",54
WBGene00000155,IPR032416,"Peptidase M24, C-terminal domain",54
WBGene00000155,IPR033740,Aminopeptidase P,54
WBGene00000155,IPR036005,Creatinase/aminopeptidase-like,54
WBGene00000157,IPR000804,"Clathrin adaptor complex, small chain",2
WBGene00000157,IPR011012,Longin-like domain superfamily,2
WBGene00000157,IPR016635,"Adaptor protein complex, sigma subunit",2
WBGene00000157,IPR022775,"AP complex, mu/sigma subunit",2
WBGene00000157,IPR027156,AP-2 complex subunit sigma,2
WBGene00000158,IPR002553,"Clathrin/coatomer adaptor, adaptin-like, N-terminal",2
WBGene00000158,IPR008152,"Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain",2
WBGene00000158,IPR008153,Gamma-adaptin ear (GAE) domain,2
WBGene00000158,IPR011989,Armadillo-like helical,2
WBGene00000158,IPR013041,"Clathrin adaptor, appendage, Ig-like subdomain superfamily",2
WBGene00000158,IPR016024,Armadillo-type fold,2
WBGene00000158,IPR017107,"Adaptor protein complex AP-1, gamma subunit",2
WBGene00000159,IPR000804,"Clathrin adaptor complex, small chain",1
WBGene00000159,IPR011012,Longin-like domain superfamily,1
WBGene00000159,IPR016635,"Adaptor protein complex, sigma subunit",1
WBGene00000159,IPR022775,"AP complex, mu/sigma subunit",1
WBGene00000160,IPR002553,"Clathrin/coatomer adaptor, adaptin-like, N-terminal",80
WBGene00000160,IPR008152,"Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain",80
WBGene00000160,IPR009028,"Coatomer/calthrin adaptor appendage, C-terminal subdomain",80
WBGene00000160,IPR011989,Armadillo-like helical,80
WBGene00000160,IPR012295,TBP domain superfamily,80
WBGene00000160,IPR013037,"Clathrin adaptor, beta-adaptin, appendage, Ig-like subdomain",80
WBGene00000160,IPR013041,"Clathrin adaptor, appendage, Ig-like subdomain superfamily",80
WBGene00000160,IPR015151,"Beta-adaptin appendage, C-terminal subdomain",80
WBGene00000160,IPR016024,Armadillo-type fold,80
WBGene00000160,IPR016342,AP-1/2/4 complex subunit beta,80
WBGene00000160,IPR026739,AP complex subunit beta,80
WBGene00000161,IPR002553,"Clathrin/coatomer adaptor, adaptin-like, N-terminal",9
WBGene00000161,IPR003164,"Clathrin adaptor, alpha-adaptin, appendage, C-terminal subdomain",9
WBGene00000161,IPR008152,"Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain",9
WBGene00000161,IPR009028,"Coatomer/calthrin adaptor appendage, C-terminal subdomain",9
WBGene00000161,IPR011989,Armadillo-like helical,9
WBGene00000161,IPR012295,TBP domain superfamily,9
WBGene00000161,IPR013041,"Clathrin adaptor, appendage, Ig-like subdomain superfamily",9
WBGene00000161,IPR016024,Armadillo-type fold,9
WBGene00000161,IPR017104,"Adaptor protein complex AP-2, alpha subunit",9
WBGene00000170,IPR000425,Major intrinsic protein,23
WBGene00000170,IPR022357,"Major intrinsic protein, conserved site",23
WBGene00000170,IPR023271,Aquaporin-like,23
WBGene00000171,IPR000425,Major intrinsic protein,3
WBGene00000171,IPR022357,"Major intrinsic protein, conserved site",3
WBGene00000171,IPR023271,Aquaporin-like,3
WBGene00000172,IPR000425,Major intrinsic protein,9
WBGene00000172,IPR023271,Aquaporin-like,9
WBGene00000172,IPR034294,Aquaporin transporter,9
WBGene00000174,IPR000425,Major intrinsic protein,1
WBGene00000174,IPR022357,"Major intrinsic protein, conserved site",1
WBGene00000174,IPR023271,Aquaporin-like,1
WBGene00000174,IPR034294,Aquaporin transporter,1
WBGene00000175,IPR000425,Major intrinsic protein,7
WBGene00000175,IPR022357,"Major intrinsic protein, conserved site",7
WBGene00000175,IPR023271,Aquaporin-like,7
WBGene00000176,IPR000425,Major intrinsic protein,1
WBGene00000176,IPR022357,"Major intrinsic protein, conserved site",1
WBGene00000176,IPR023271,Aquaporin-like,1
WBGene00000176,,,1
WBGene00000181,IPR002347,Short-chain dehydrogenase/reductase SDR,12
WBGene00000181,IPR020904,"Short-chain dehydrogenase/reductase, conserved site",12
WBGene00000181,IPR036291,NAD(P)-binding domain superfamily,12
WBGene00000182,IPR005225,Small GTP-binding protein domain,68
WBGene00000182,IPR006689,"Small GTPase superfamily, ARF/SAR type",68
WBGene00000182,IPR027417,P-loop containing nucleoside triphosphate hydrolase,68
WBGene00000183,IPR005225,Small GTP-binding protein domain,105
WBGene00000183,IPR006689,"Small GTPase superfamily, ARF/SAR type",105
WBGene00000183,IPR027417,P-loop containing nucleoside triphosphate hydrolase,105
WBGene00000184,IPR005225,Small GTP-binding protein domain,9
WBGene00000184,IPR006689,"Small GTPase superfamily, ARF/SAR type",9
WBGene00000184,IPR027417,P-loop containing nucleoside triphosphate hydrolase,9
WBGene00000184,IPR041838,ADP-ribosylation factor 6,9
WBGene00000190,IPR005225,Small GTP-binding protein domain,1
WBGene00000190,IPR006689,"Small GTPase superfamily, ARF/SAR type",1
WBGene00000190,IPR027417,P-loop containing nucleoside triphosphate hydrolase,1
WBGene00000192,IPR005225,Small GTP-binding protein domain,28
WBGene00000192,IPR006689,"Small GTPase superfamily, ARF/SAR type",28
WBGene00000192,IPR027417,P-loop containing nucleoside triphosphate hydrolase,28
WBGene00000197,IPR002318,"Alanine-tRNA ligase, class IIc",91
WBGene00000197,IPR003156,DHHA1 domain,91
WBGene00000197,IPR009000,"Translation protein, beta-barrel domain superfamily",91
WBGene00000197,IPR012947,"Threonyl/alanyl tRNA synthetase, SAD",91
WBGene00000197,IPR018162,"Alanine-tRNA ligase, class IIc, anti-codon-binding domain superfamily",91
WBGene00000197,IPR018163,"Threonyl/alanyl tRNA synthetase, class II-like, putative editing domain superfamily",91
WBGene00000197,IPR018164,"Alanyl-tRNA synthetase, class IIc, N-terminal",91
WBGene00000197,IPR018165,"Alanyl-tRNA synthetase, class IIc, core domain",91
WBGene00000197,IPR023033,"Alanine-tRNA ligase, eukaryota/bacteria",91
WBGene00000198,IPR000626,Ubiquitin-like domain,38
WBGene00000198,IPR001104,"3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal",38
WBGene00000198,IPR029071,Ubiquitin-like domain superfamily,38
WBGene00000198,IPR039357,3-oxo-5-alpha-steroid 4-dehydrogenase/very-long-chain enoyl-CoA reductase,38
WBGene00000199,IPR004000,Actin family,25
WBGene00000199,IPR015623,Actin-related protein 3,25
WBGene00000199,IPR020902,Actin/actin-like conserved site,25
WBGene00000199,IPR043129,"ATPase, nucleotide binding domain",25
WBGene00000200,IPR004000,Actin family,20
WBGene00000200,IPR004001,"Actin, conserved site",20
WBGene00000200,IPR020902,Actin/actin-like conserved site,20
WBGene00000200,IPR027306,Actin-related protein 2,20
WBGene00000200,IPR043129,"ATPase, nucleotide binding domain",20
WBGene00000201,IPR001680,WD40 repeat,6
WBGene00000201,IPR015943,WD40/YVTN repeat-like-containing domain superfamily,6
WBGene00000201,IPR017383,Actin-related protein 2/3 complex subunit 1,6
WBGene00000201,IPR036322,WD40-repeat-containing domain superfamily,6
WBGene00000203,IPR007204,Actin-related protein 2/3 complex subunit 3,9
WBGene00000203,IPR036753,Actin-related protein 2/3 complex subunit 3 superfamily,9
WBGene00000204,IPR008384,Actin-related protein 2/3 complex subunit 4,15
WBGene00000204,IPR034666,Arp2/3 complex subunit 2/4,15
WBGene00000205,IPR006789,Actin-related protein 2/3 complex subunit 5,10
WBGene00000205,IPR036743,Actin-related protein 2/3 complex subunit 5 superfamily,10
WBGene00000206,IPR008688,"ATP synthase, F0 complex, subunit B/MI25",9
WBGene00000206,IPR013837,"ATP synthase, F0 complex, subunit B",9
WBGene00000207,IPR008688,"ATP synthase, F0 complex, subunit B/MI25",24
WBGene00000207,IPR013837,"ATP synthase, F0 complex, subunit B",24
WBGene00000209,IPR006808,"ATP synthase, F0 complex, subunit G, mitochondrial",7
WBGene00000209,IPR016702,"Mitochondrial ATP synthase subunit g, animal",7
WBGene00000210,IPR006808,"ATP synthase, F0 complex, subunit G, mitochondrial",11
WBGene00000214,IPR001461,Aspartic peptidase A1 family,1205
WBGene00000214,IPR001969,"Aspartic peptidase, active site",1205
WBGene00000214,IPR021109,Aspartic peptidase domain superfamily,1205
WBGene00000214,IPR033121,Peptidase family A1 domain,1205
WBGene00000214,IPR034164,Pepsin-like domain,1205
WBGene00000215,IPR001461,Aspartic peptidase A1 family,201
WBGene00000215,IPR001969,"Aspartic peptidase, active site",201
WBGene00000215,IPR021109,Aspartic peptidase domain superfamily,201
WBGene00000215,IPR033121,Peptidase family A1 domain,201
WBGene00000215,IPR034164,Pepsin-like domain,201
WBGene00000216,IPR001461,Aspartic peptidase A1 family,252
WBGene00000216,IPR001969,"Aspartic peptidase, active site",252
WBGene00000216,IPR021109,Aspartic peptidase domain superfamily,252
WBGene00000216,IPR033121,Peptidase family A1 domain,252
WBGene00000217,IPR001461,Aspartic peptidase A1 family,234
WBGene00000217,IPR001969,"Aspartic peptidase, active site",234
WBGene00000217,IPR021109,Aspartic peptidase domain superfamily,234
WBGene00000217,IPR033121,Peptidase family A1 domain,234
WBGene00000218,IPR001461,Aspartic peptidase A1 family,121
WBGene00000218,IPR001969,"Aspartic peptidase, active site",121
WBGene00000218,IPR021109,Aspartic peptidase domain superfamily,121
WBGene00000218,IPR033121,Peptidase family A1 domain,121
WBGene00000218,IPR034164,Pepsin-like domain,121
WBGene00000219,IPR001461,Aspartic peptidase A1 family,385
WBGene00000219,IPR001969,"Aspartic peptidase, active site",385
WBGene00000219,IPR021109,Aspartic peptidase domain superfamily,385
WBGene00000219,IPR033121,Peptidase family A1 domain,385
WBGene00000219,IPR034164,Pepsin-like domain,385
WBGene00000224,IPR006047,"Glycosyl hydrolase, family 13, catalytic domain",15
WBGene00000224,IPR017853,Glycoside hydrolase superfamily,15
WBGene00000224,IPR031984,"Solute carrier family 3 member 2, N-terminal domain",15
WBGene00000224,,,15
WBGene00000228,IPR001589,"Actinin-type actin-binding domain, conserved site",27
WBGene00000228,IPR001715,Calponin homology domain,27
WBGene00000228,IPR002017,Spectrin repeat,27
WBGene00000228,IPR002048,EF-hand domain,27
WBGene00000228,IPR011992,EF-hand domain pair,27
WBGene00000228,IPR014837,"EF-hand, Ca insensitive",27
WBGene00000228,IPR018159,Spectrin/alpha-actinin,27
WBGene00000228,IPR036872,CH domain superfamily,27
WBGene00000229,IPR000194,"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain",341
WBGene00000229,IPR003593,AAA+ ATPase domain,341
WBGene00000229,IPR004100,"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain",341
WBGene00000229,IPR005722,"ATP synthase, F1 complex, beta subunit",341
WBGene00000229,IPR020003,"ATPase, alpha/beta subunit, nucleotide-binding domain, active site",341
WBGene00000229,IPR024034,"ATPase, F1/V1 complex, beta/alpha subunit, C-terminal",341
WBGene00000229,IPR027417,P-loop containing nucleoside triphosphate hydrolase,341
WBGene00000229,IPR036121,"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain superfamily",341
WBGene00000230,IPR000711,"ATPase, OSCP/delta subunit",62
WBGene00000230,IPR026015,"F1F0 ATP synthase OSCP/delta subunit, N-terminal domain superfamily",62
WBGene00000235,IPR004122,"Barrier- to-autointegration factor, BAF",2
WBGene00000235,IPR036617,"Barrier-to-autointegration factor, BAF superfamily",2
WBGene00000239,IPR002129,Pyridoxal phosphate-dependent decarboxylase,2
WBGene00000239,IPR010977,Aromatic-L-amino-acid decarboxylase,2
WBGene00000239,IPR015422,Pyridoxal phosphate-dependent transferase domain 1,2
WBGene00000239,IPR015424,Pyridoxal phosphate-dependent transferase,2
WBGene00000240,IPR001273,Aromatic amino acid hydroxylase,16
WBGene00000240,IPR002912,ACT domain,16
WBGene00000240,IPR005961,"Phenylalanine-4-hydroxylase, tetrameric form",16
WBGene00000240,IPR018301,"Aromatic amino acid hydroxylase, iron/copper binding site",16
WBGene00000240,IPR019773,Tyrosine 3-monooxygenase-like,16
WBGene00000240,IPR019774,"Aromatic amino acid hydroxylase, C-terminal",16
WBGene00000240,IPR036329,"Aromatic amino acid monoxygenase, C-terminal domain superfamily",16
WBGene00000240,IPR036951,Aromatic amino acid hydroxylase superfamily,16
WBGene00000240,IPR041912,"Eukaryotic phenylalanine-4-hydroxylase, catalytic domain",16
WBGene00000253,IPR002048,EF-hand domain,67
WBGene00000253,IPR010255,Haem peroxidase superfamily,67
WBGene00000253,IPR011992,EF-hand domain pair,67
WBGene00000253,IPR013112,FAD-binding 8,67
WBGene00000253,IPR013121,"Ferric reductase, NAD binding domain",67
WBGene00000253,IPR013130,Ferric reductase transmembrane component-like domain,67
WBGene00000253,IPR017927,"FAD-binding domain, ferredoxin reductase-type",67
WBGene00000253,IPR017938,Riboflavin synthase-like beta-barrel,67
WBGene00000253,IPR019791,"Haem peroxidase, animal-type",67
WBGene00000253,IPR029595,Dual oxidase 1/Duox,67
WBGene00000253,IPR034821,"Dual oxidase, peroxidase domain",67
WBGene00000253,IPR037120,"Haem peroxidase domain superfamily, animal type",67
WBGene00000253,IPR039261,"Ferredoxin-NADP reductase (FNR), nucleotide-binding domain",67
WBGene00000254,IPR000209,Peptidase S8/S53 domain,3
WBGene00000254,IPR002884,P domain,3
WBGene00000254,IPR008979,Galactose-binding-like domain superfamily,3
WBGene00000254,IPR015500,"Peptidase S8, subtilisin-related",3
WBGene00000254,IPR022398,"Peptidase S8, subtilisin, His-active site",3
WBGene00000254,IPR023827,"Peptidase S8, subtilisin,  Asp-active site",3
WBGene00000254,IPR023828,"Peptidase S8, subtilisin, Ser-active site",3
WBGene00000254,IPR032815,"Peptidase S8, pro-domain",3
WBGene00000254,IPR034182,Kexin/furin catalytic domain,3
WBGene00000254,IPR036852,Peptidase S8/S53 domain superfamily,3
WBGene00000254,IPR038466,"Peptidase S8, pro-domain superfamily",3
WBGene00000254,IPR006212,Furin-like repeat,3
WBGene00000254,IPR009030,Growth factor receptor cysteine-rich domain superfamily,3
WBGene00000254,IPR003903,Ubiquitin interacting motif,3
WBGene00000265,IPR001357,BRCT domain,1
WBGene00000265,IPR001841,"Zinc finger, RING-type",1
WBGene00000265,IPR002110,Ankyrin repeat,1
WBGene00000265,IPR013083,"Zinc finger, RING/FYVE/PHD-type",1
WBGene00000265,IPR017907,"Zinc finger, RING-type, conserved site",1
WBGene00000265,IPR020683,Ankyrin repeat-containing domain,1
WBGene00000265,IPR036420,BRCT domain superfamily,1
WBGene00000265,IPR036770,Ankyrin repeat-containing domain superfamily,1
WBGene00000266,IPR006368,"GDP-mannose 4,6-dehydratase",10
WBGene00000266,IPR016040,NAD(P)-binding domain,10
WBGene00000266,IPR036291,NAD(P)-binding domain superfamily,10
WBGene00000273,,,16
WBGene00000277,IPR009635,Neural proliferation differentiation control-1,15
WBGene00000281,IPR001148,Alpha carbonic anhydrase domain,4
WBGene00000281,IPR018338,"Carbonic anhydrase, alpha-class, conserved site",4
WBGene00000281,IPR023561,"Carbonic anhydrase, alpha-class",4
WBGene00000281,IPR036398,Alpha carbonic anhydrase domain superfamily,4
WBGene00000282,IPR001148,Alpha carbonic anhydrase domain,2
WBGene00000282,IPR023561,"Carbonic anhydrase, alpha-class",2
WBGene00000282,IPR036398,Alpha carbonic anhydrase domain superfamily,2
WBGene00000283,IPR001148,Alpha carbonic anhydrase domain,7
WBGene00000283,IPR018338,"Carbonic anhydrase, alpha-class, conserved site",7
WBGene00000283,IPR023561,"Carbonic anhydrase, alpha-class",7
WBGene00000283,IPR036398,Alpha carbonic anhydrase domain superfamily,7
WBGene00000292,IPR002189,F-actin-capping protein subunit alpha,18
WBGene00000292,IPR017865,"F-actin capping protein, alpha subunit, conserved site",18
WBGene00000292,IPR037282,F-actin-capping protein subunit alpha/beta,18
WBGene00000292,IPR042276,"F-actin-capping protein subunit alpha/beta, domain 2",18
WBGene00000292,IPR042489,"F-actin capping protein, alpha subunit, domain 1",18
WBGene00000293,IPR001698,F-actin-capping protein subunit beta,17
WBGene00000293,IPR019771,"F-actin capping protein, beta subunit, conserved site",17
WBGene00000293,IPR037282,F-actin-capping protein subunit alpha/beta,17
WBGene00000293,IPR042276,"F-actin-capping protein subunit alpha/beta, domain 2",17
WBGene00000293,IPR043175,"F-actin-capping protein subunit beta, N-terminal domain",17
WBGene00000294,IPR001837,Adenylate cyclase-associated CAP,86
WBGene00000294,IPR006599,CARP motif,86
WBGene00000294,IPR013912,"Adenylate cyclase-associated CAP, C-terminal",86
WBGene00000294,IPR016098,"Cyclase-associated protein CAP/septum formation inhibitor MinC, C-terminal",86
WBGene00000294,IPR017901,C-CAP/cofactor C-like domain,86
WBGene00000294,IPR028417,"CAP, conserved site, C-terminal",86
WBGene00000294,IPR028419,"Adenylyl cyclase-associated protein CAP, fungal type",86
WBGene00000294,IPR036222,"Adenylate cyclase-associated CAP, N-terminal  domain superfamily",86
WBGene00000294,IPR036223,"Adenylate cyclase-associated CAP, C-terminal  superfamily",86
WBGene00000294,IPR013992,"Adenylate cyclase-associated CAP, N-terminal",86
WBGene00000298,IPR001474,GTP cyclohydrolase I,1
WBGene00000298,IPR018234,"GTP cyclohydrolase I, conserved site",1
WBGene00000298,IPR020602,GTP cyclohydrolase I domain,1
WBGene00000298,IPR043133,"GTP cyclohydrolase I, C-terminal/NADPH-dependent 7-cyano-7-deazaguanine reductase",1
WBGene00000298,IPR043134,"GTP cyclohydrolase I, N-terminal domain",1
